id,name,location,city_id,latitude,longitude
76,Dvorak Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x9c_\xde-\xda\xe9U\xc0\xa9\xee\xdbZp\xedD@',163,41.8549913,-87.6539416
77,Eckhart Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x004\x1d\xf0\xafT\xeaU\xc0\xdd\x98\x9e\xb0\xc4\xf2D@',165,41.8966275,-87.6614189
78,Edgebrook Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1e\x03\r\x91\xae\xf0U\xc0\xe8\xfco\x80\xf4\xffD@',166,41.9996491,-87.7606547
79,Edison Park,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc9'\x1aZS\xf4U\xc09\x93\xdb\x9b\x84\x00E@""",167,42.0040469,-87.8175874
80,Ellis Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x18\x93\xa3\xa5\x17\xe7U\xc0\xa0]thG\xeaD@',169,41.8303042,-87.6108183
81,Emmerson Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x044\xb6|I\xebU\xc0\xc3P=\x88S\xffD@',173,41.9947367,-87.6763603
82,Erhler Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x83\x89?\x8a\xba\xebU\xc05\x7f\xa7$F\xf5D@',174,41.9162031,-87.6832605
83,Euclid Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x003%H[\xcb\xe8U\xc0h\xcaN?\xa8\xdbD@',176,41.716072,-87.6374119
84,Eugene Field Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe7\xecSD<\xeeU\xc0\x8a\x1e\xf8\x18\xac\xfcD@',7,41.974002,-87.7224284
85,Fargo Beach Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc2Vd\xcfy\xeaU\xc0^\xd5\xfes=\x02E@',179,42.0175004,-87.6636847
86,Fellger Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00u\xe7\x89\xe7l\xebU\xc0MK\xac\x8cF\xf8D@',180,41.939653,-87.678522
87,Fernwood Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00@\x8f\x07\x11\xdf\xe8U\xc0+X\x99\xdf\x1f\xdaD@',181,41.7040977,-87.6386149
88,Fosco Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00>\x08\x01\xf9\x12\xeaU\xc0k[9 \xae\xeeD@',187,41.8646889,-87.657408
89,Foster Beach,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00b\x15\xca\x1d\x91\xe9U\xc0R\xf92\xac=\xfdD@',619,41.9784446,-87.6494822
90,Foster Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf6?O$=\xeaU\xc0\xc2\xd4\xe0\xc7\xe2\xdeD@',188,41.7412958,-87.65998180140727
91,Franklin Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00@\xc0Z\xb5\xeb\xeeU\xc0G\xe9\xd2\xbf$\xeeD@',189,41.8604965,-87.7331365
92,Fred Anderson Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xdeeua\xda\xe7U\xc0ZU\xe51\xb9\xdeD@',654,41.7400267,-87.6227039
93,Fuller Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xca\xe7\xcb\xc1\xa2\xe8U\xc0l\xfbh\x82\xf2\xe7D@',190,41.8120883,-87.6349339
94,Gage Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xdc\xe6]t\xd6\xebU\xc0\xc6\xf9@\x97\x95\xe5D@',191,41.793627650000005,-87.68496426744554
95,Galewood Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\noj\xfb2\xf1U\xc0P}\xd6\xeb\xcc\xf4D@',192,41.9125037,-87.7687367
96,Garfield Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1e\x8bmR\xd1\xedU\xc0\x96@J\xec\xda\xf0D@',193,41.881681,-87.715901
97,Garfield Park Conservatory,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf0X\xc7L\xfd\xedU\xc0\xda\x1a\x11\x8c\x83\xf1D@',594,41.886827,-87.7185852
98,Gately Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x17\x18h-\xbb\xe6U\xc0]\xf2\x89\x86\xd6\xdaD@',195,41.7096718,-87.6051744
99,Gill Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd6\x05\x17\x86\xa3\xe9U\xc0\xc6\xcd_\xd7\xe5\xf9D@',196,41.9523267,-87.6506057
100,Gladstone Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x8d\xbf\xa3|w\xf1U\xc0rS^\x86Z\xfdD@',198,41.9793251,-87.7729179
101,Golden Gate Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xbfd\xe3\xc1\x16\xe7U\xc0\x84b+hZ\xd4D@',201,41.659009,-87.610764
102,Gompers Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00q+s\xa9\x00\xefU\xc0\xbf2\xca\x8e\xe8\xfcD@',13,41.9758471,-87.7344154
103,Grand Crossing Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x03\x88\xcc\xa6m\xe6U\xc0\xdcu\x80q\xba\xe0D@',204,41.7556898,-87.6004426
104,Grandparents Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf0\xa1\xe9\x91\xab\xf5U\xc0FT\xf2\xfbH\xfdD@',206,41.9787898,-87.8385968
105,Grant Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00_\x7f\x12\x9f\xbb\xedU\xc0\x82d\xf0\xe6_\xf3D@',207,41.9013642,-87.7145765
106,Graver Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xbf\x7f\xf3\xe2D\xeaU\xc0\x9e\xe2\x82}\x85\xdaD@',209,41.7071988,-87.6604545
107,Green Briar Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd3\xb6\x06[\x91\xecU\xc0P\x86O\xdf\xd7\xfeD@',210,41.9909629,-87.6963718
108,Gross Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00r\xca76\x96\xecU\xc0NG[\xf0\xfd\xfbD@',213,41.9686871,-87.6966682
109,Gwendolyn Brooks Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb3g*\x1f]\xe6U\xc0\xef\xf6j\x91\xfe\xe7D@',82,41.8124563,-87.5994337
110,Gymnastics Administration,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x961O\xf8\xb6\xe6U\xc0\xda\xaa$\xb2\x0f\xe4D@',635,41.781729,-87.6049176
111,Haas Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc4\xfb\xbb\x88\x80\xecU\xc0\xa6\x8b\x03\x9ej\xf6D@',214,41.9251287,-87.6953451
112,Haines School Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00o\xc9\xbb4\x8f\xe8U\xc0\xf9\x01\xfe\xdf\xc7\xecD@',585,41.8498497,-87.6337406
113,Hale Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00B\xc7\x7f\x99\xd9\xf1U\xc0\xe4Y8\xff\xe5\xe3D@',215,41.78045645,-87.77890622595172
114,Hamilton Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x9c\xb2\x89\x82\xcf\xe8U\xc0\xc35-g\xa5\xe1D@',217,41.7628602,-87.6376654
115,Hamlin Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd5\xd0\x06`\x83\xebU\xc0-\xc5\x9f\xf2\xf9\xf7D@',218,41.9373153,-87.6798935
116,Harold Washington Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x90\x05\x96mq\xe5U\xc0\x04>\x9aE\x83\xe6D@',518,41.8008811,-87.5850481
117,Harris Gymnastics Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x961O\xf8\xb6\xe6U\xc0\xda\xaa$\xb2\x0f\xe4D@',696,41.781729,-87.6049176
118,Harris Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x961O\xf8\xb6\xe6U\xc0\xda\xaa$\xb2\x0f\xe4D@',222,41.781729,-87.6049176
119,Harrison Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x99.\x1f\xa4\x02\xebU\xc0\xa2\x04\xa2\xcc\xab\xedD@',224,41.8568054,-87.6720362
120,Hasan Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00!\x02\x0e\xa1J\xe4U\xc0\xe8\xadp\x81\xba\xe2D@',227,41.7713167,-87.567055
121,Hayes Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x8e\x1f*\x8d\x98\xecU\xc0\x0c\xd1|)\x97\xdeD@',228,41.7389881,-87.696811
122,Hegewisch Marsh,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\xb4'7@\x1f\xe4U\xc0\xf9\xba\x0c\xff\xe9\xd3D@""",657,41.6555785,-87.5644074
123,Hermitage Park,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe1\x1bT,\xc8\xeaU\xc0\xbaR*<\xc3\xe4D@'",231,41.7872081,-87.6684676
124,Hermosa Park,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00'U\x91\xc0U\xefU\xc0\x15D\x93z\x05\xf6D@""",232,41.9220422,-87.7396089
125,Hiawatha Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00P\xce\x06O\xd7\xf4U\xc0\x02+\x87\x16\xd9\xf8D@',233,41.944125,-87.8256414
126,Hollywood Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x99.\xc4\xea\x8f\xedU\xc0V(\xd2\xfd\x9c\xfeD@',19,41.989166,-87.711909
127,Holstein Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x7f\x07P\x9d\xd8\xebU\xc0\xc1~>\x80\xfb\xf5D@',238,41.9217377,-87.6850961
